date,team1,team2,team1_score,team2_score,spreads_json
20061117,Portland,Boston,90,118,"{""19"": [""+7 -110"", ""-7 -110""], ""238"": [""+7.5 -106"", ""-7.5 -104""]}"
20061117,New York,Miami,100,76,"{""19"": [""+8 -110"", ""-8 -110""], ""238"": [""+8 -107"", ""-8 -103""]}"
20061117,Philadelphia,Phoenix,94,106,"{""19"": [""+6 -110"", ""-6 -110""], ""238"": [""+6 -106"", ""-6 -104""]}"
20061117,Dallas,Memphis,115,103,"{""19"": [""-5 -110"", ""+5 -110""], ""238"": [""-5 +105"", ""+5 -115""]}"
20061117,Minnesota,Cleveland,76,92,"{""19"": [""+6.5 -110"", ""-6.5 -110""], ""238"": [""+6 +107"", ""-6 -117""]}"
20061117,Brooklyn,Indiana,100,91,"{""19"": [""+5 -110"", ""-5 -110""], ""238"": [""+5 -103"", ""-5 -107""]}"
20061118,Boston,New York,122,118,"{""19"": [""+1.5 -110"", ""-1.5 -110""], ""238"": [""+1.5 -105"", ""-1.5 -105""]}"
20061118,Charlotte,Orlando,83,97,"{""19"": [""+7.5 -110"", ""-7.5 -110""], ""238"": [""+7.5 -105"", ""-7.5 -105""]}"
20061118,New Orleans,Minnesota,99,96,"{""19"": [""+3 -110"", ""-3 -110""], ""238"": [""+3 +102"", ""-3 -112""]}"
20061118,Cleveland,Washington,99,111,"{""19"": [""+4 -110"", ""-4 -110""], ""238"": [""+4 +108"", ""-4 -118""]}"
20061118,Memphis,Dallas,84,89,"{""19"": [""+10 -110"", ""-10 -110""], ""238"": [""+10 -102"", ""-10 -108""]}"
20061118,Phoenix,Utah,117,120,"{""19"": [""+4.5 -110"", ""-4.5 -110""], ""238"": [""+4.5 -106"", ""-4.5 -104""]}"
20061118,Miami,Atlanta,74,74,"{""19"": [""+3 -110"", ""-3 -110""], ""238"": [""+3 +102"", ""-3 -112""]}"
20061118,Houston,Detroit,92,104,"{""238"": [""+1 +101"", ""-1 -111""]}"
20061118,Indiana,Milwaukee,102,100,"{""19"": [""+4 -110"", ""-4 -110""], ""238"": [""+4 -110"", ""-4 +100""]}"
20061118,Philadelphia,L.A. Clippers,90,90,"{""19"": [""+9 -110"", ""-9 -110""], ""238"": [""+9 -101"", ""-9 -109""]}"
20061118,Toronto,Denver,109,117,"{""19"": [""+10 -110"", ""-10 -110""], ""238"": [""+9.5 +102"", ""-9.5 -112""]}"
20061118,Portland,Brooklyn,86,68,"{""19"": [""+9 -110"", ""-9 -110""], ""238"": [""+9 -113"", ""-9 +103""]}"
20061119,Chicago,L.A. Lakers,72,82,"{""19"": [""+1.5 +107"", ""-1.5 -127""], ""238"": [""+3 -114"", ""-3 +104""]}"
20061119,San Antonio,Sacramento,108,99,"{""19"": [""-2.5 -110"", ""+2.5 -110""], ""238"": [""-2.5 -103"", ""+2.5 -107""]}"
20061120,San Antonio,Portland,107,98,"{""19"": [""-6.5 -110"", ""+6.5 -110""], ""93"": [""-6.5 -110"", ""+6.5 -110""], ""238"": [""-6 -106"", ""+6 -104""]}"
